start_id,start_vertex_type,end_id,end_vertex_type,fe,co2
153,Car,50,Engine,21.23,419
153,Car,33,Engine,24.79,358
154,Car,50,Engine,22.1,403
155,Car,33,Engine,25.54,348
156,Car,50,Engine,20.06,440
156,Car,33,Engine,21.78,406
157,Car,54,Engine,17,520
158,Car,50,Engine,22.12,403
159,Car,33,Engine,23.05,384.5
160,Car,14,Engine,22.1,399
161,Car,14,Engine,22.93,385
162,Car,33,Engine,23.54,381.5
163,Car,36,Engine,28.86,311
163,Car,6,Engine,29.76,301
164,Car,50,Engine,19.38,453
165,Car,50,Engine,21.09,424
166,Car,4,Engine,40.54,220
167,Car,54,Engine,16.23,546
168,Car,12,Engine,19.62,450
169,Car,33,Engine,22.62,393
170,Car,1,Engine,36.24,243.5
171,Car,33,Engine,20.86,425
172,Car,33,Engine,25.33,358
172,Car,12,Engine,21.97,405
173,Car,50,Engine,20.39,445.5
174,Car,47,Engine,19.98,448
174,Car,40,Engine,22.25,401
175,Car,33,Engine,24.07,366
176,Car,50,Engine,20.26,436
177,Car,46,Engine,16.79,529
177,Car,34,Engine,16.81,528.5
178,Car,50,Engine,20.06,440
179,Car,41,Engine,23.65,375
179,Car,33,Engine,25.51,348
180,Car,41,Engine,24.8,356
180,Car,33,Engine,26.82,331
181,Car,54,Engine,18.33,484
182,Car,14,Engine,29.12,303
183,Car,33,Engine,27.91,317
184,Car,59,Engine,9.02,979
185,Car,33,Engine,24.76,356
186,Car,50,Engine,20,443
187,Car,50,Engine,17.81,495
188,Car,35,Engine,33.87,262.67
188,Car,6,Engine,33.88,260
189,Car,40,Engine,24.54,365
189,Car,4,Engine,25.9,344
190,Car,54,Engine,15.26,579
191,Car,36,Engine,37.73,238
192,Car,4,Engine,31.69,280
193,Car,28,Engine,18.09,491
194,Car,50,Engine,21,423
195,Car,33,Engine,24.47,360
196,Car,25,Engine,22.25,397
197,Car,50,Engine,24.52,360
198,Car,50,Engine,18.7,470
199,Car,51,Engine,18.71,472
200,Car,56,Engine,14.39,615
201,Car,10,Engine,25.84,342
202,Car,20,Engine,17.64,505
203,Car,20,Engine,15,593.5
204,Car,29,Engine,25.91,340
205,Car,54,Engine,15.49,571
206,Car,14,Engine,15.78,563
207,Car,14,Engine,21.26,432
208,Car,33,Engine,27.51,321
209,Car,50,Engine,24.01,368
210,Car,33,Engine,20.51,430
211,Car,26,Engine,15.45,569.5
212,Car,54,Engine,17.87,497
213,Car,4,Engine,38.6,228
214,Car,60,Engine,21.78,405
215,Car,55,Engine,17.03,522
216,Car,53,Engine,19.45,454
217,Car,60,Engine,25.09,352
218,Car,33,Engine,30.79,286
219,Car,6,Engine,27,330
220,Car,33,Engine,22.02,402
221,Car,56,Engine,14.33,618
222,Car,47,Engine,19.65,455.5
222,Car,46,Engine,20.08,443
223,Car,11,Engine,20.21,438
224,Car,14,Engine,25.05,352
225,Car,14,Engine,20.74,441
226,Car,25,Engine,23.75,373
227,Car,50,Engine,22.12,403
228,Car,33,Engine,21,424
229,Car,33,Engine,27.66,319.5
230,Car,17,Engine,14.36,618
231,Car,29,Engine,28.84,306
232,Car,39,Engine,26,342
233,Car,33,Engine,26.73,330
234,Car,14,Engine,22.81,387
235,Car,50,Engine,24.59,358
236,Car,29,Engine,32,278
237,Car,4,Engine,40.19,223
238,Car,44,Engine,19.6,453.33
239,Car,54,Engine,16.91,522
240,Car,14,Engine,29,305
241,Car,50,Engine,26.29,339
242,Car,47,Engine,25.14,353
243,Car,33,Engine,20.86,425
244,Car,33,Engine,21.62,410
245,Car,53,Engine,19.45,454
246,Car,38,Engine,26.39,356
247,Car,5,Engine,30.8,290
248,Car,17,Engine,16.69,533
248,Car,12,Engine,21.09,430
249,Car,54,Engine,16.47,537
250,Car,11,Engine,20.21,438
251,Car,50,Engine,24.83,357
252,Car,14,Engine,25.63,344
253,Car,34,Engine,18,493.5
254,Car,56,Engine,14.39,615
255,Car,14,Engine,25.12,354
256,Car,8,Engine,49,179
257,Car,33,Engine,26.79,330
258,Car,2,Engine,25.4,350
259,Car,19,Engine,15.13,588
260,Car,48,Engine,19,466
261,Car,47,Engine,23.4,386
262,Car,50,Engine,23,442
262,Car,19,Engine,16.22,547.5
263,Car,14,Engine,25.63,345
264,Car,23,Engine,16.98,518
265,Car,15,Engine,21.16,426
266,Car,40,Engine,26.39,337
266,Car,4,Engine,27.27,326
267,Car,5,Engine,55.37,162
268,Car,7,Engine,47.98,184
269,Car,33,Engine,22.59,392
270,Car,33,Engine,24.62,359
271,Car,33,Engine,25.83,342
272,Car,40,Engine,26.64,334
272,Car,4,Engine,27.78,320
273,Car,33,Engine,26.1,339
274,Car,47,Engine,17.77,500.5
275,Car,53,Engine,17.04,517
276,Car,37,Engine,21.48,413
277,Car,4,Engine,35.86,245
278,Car,50,Engine,18.7,472
279,Car,50,Engine,21,420
280,Car,50,Engine,20.26,436
281,Car,50,Engine,23,442
281,Car,19,Engine,16.01,561.5
281,Car,16,Engine,16.74,530.5
282,Car,32,Engine,22.36,455
282,Car,12,Engine,19,465
282,Car,4,Engine,20.58,431
283,Car,33,Engine,25,350
284,Car,15,Engine,20.77,429
285,Car,50,Engine,18.18,484
286,Car,28,Engine,18.09,491
287,Car,20,Engine,15,592.5
288,Car,35,Engine,29,305
288,Car,6,Engine,38.17,234
289,Car,25,Engine,18.83,470
290,Car,33,Engine,28.32,313
291,Car,54,Engine,18.88,473
292,Car,61,Engine,19.13,462
293,Car,23,Engine,14.99,596
294,Car,50,Engine,20.54,432.5
294,Car,34,Engine,23.46,378
295,Car,14,Engine,22.15,407
296,Car,14,Engine,22.7,388
297,Car,54,Engine,17,520
298,Car,50,Engine,22.07,402
299,Car,56,Engine,14.12,624
300,Car,33,Engine,24.85,356
301,Car,33,Engine,20.44,437
302,Car,13,Engine,20.69,432
303,Car,14,Engine,22.72,391
304,Car,54,Engine,16.65,531
305,Car,35,Engine,25.34,347
306,Car,61,Engine,20.61,435
307,Car,33,Engine,18.05,492
307,Car,28,Engine,15.95,563
308,Car,33,Engine,22.95,392
308,Car,2,Engine,25.7,350
309,Car,4,Engine,44.08,201
310,Car,6,Engine,29.38,302
311,Car,33,Engine,23,386
311,Car,12,Engine,20.95,424
312,Car,48,Engine,19,465
313,Car,60,Engine,25.88,341
314,Car,40,Engine,25.17,353
314,Car,4,Engine,26.49,334
315,Car,4,Engine,31,286
316,Car,32,Engine,22.36,455
316,Car,12,Engine,19,465
316,Car,4,Engine,20.58,431
317,Car,50,Engine,22.34,396.5
318,Car,14,Engine,22.61,391
319,Car,50,Engine,20.42,433
320,Car,50,Engine,16.92,519
321,Car,50,Engine,22.86,388
322,Car,8,Engine,32.21,274
323,Car,54,Engine,17.69,498
324,Car,33,Engine,25.23,352
325,Car,33,Engine,22.82,388
325,Car,12,Engine,20.57,434
326,Car,33,Engine,23,387
326,Car,29,Engine,26,342
327,Car,4,Engine,39,225
328,Car,14,Engine,22,405
329,Car,53,Engine,20.03,439
330,Car,50,Engine,24.5,360
331,Car,22,Engine,18.6,481
331,Car,10,Engine,20,444
332,Car,6,Engine,35.37,251
333,Car,50,Engine,23,442
334,Car,50,Engine,23,442
334,Car,19,Engine,16.33,544.5
334,Car,16,Engine,16.74,530.5
335,Car,53,Engine,14.99,586
336,Car,50,Engine,24.72,411
337,Car,47,Engine,19.22,462
338,Car,34,Engine,18.99,468
339,Car,33,Engine,27.42,324
340,Car,50,Engine,19.51,454.5
341,Car,33,Engine,25.33,359
342,Car,5,Engine,59.24,151
343,Car,54,Engine,14.17,624
344,Car,24,Engine,13.28,665
345,Car,14,Engine,21.77,407
346,Car,50,Engine,23.41,435
346,Car,41,Engine,18.22,487.5
346,Car,19,Engine,16.28,546.33
346,Car,16,Engine,16.6,535.75
347,Car,33,Engine,22.84,388
348,Car,48,Engine,18,494
349,Car,12,Engine,22.25,401
350,Car,37,Engine,26.92,330
350,Car,4,Engine,30.05,295
351,Car,40,Engine,22.24,403
351,Car,4,Engine,23.49,382
352,Car,50,Engine,19.49,474
353,Car,4,Engine,32.02,278
354,Car,6,Engine,25.05,355
355,Car,33,Engine,25.89,342
355,Car,35,Engine,32.14,275
356,Car,28,Engine,19.38,460
357,Car,12,Engine,20.24,448
358,Car,54,Engine,17.44,507
359,Car,6,Engine,28,318
360,Car,59,Engine,9.02,979
361,Car,33,Engine,24,364
362,Car,50,Engine,20.13,442.5
363,Car,33,Engine,27.91,317
364,Car,14,Engine,23.08,384
365,Car,33,Engine,25.79,345
365,Car,13,Engine,22.98,387
365,Car,2,Engine,25.22,352
366,Car,12,Engine,22.25,401
