start_id,start_vertex_type,end_id,end_vertex_type,gears
525,Car,5,Transmission,7
401,Car,5,Transmission,7
438,Car,5,Transmission,7
719,Car,5,Transmission,7
218,Car,5,Transmission,7
531,Car,5,Transmission,7
798,Car,5,Transmission,7
52,Car,5,Transmission,7
566,Car,5,Transmission,7
412,Car,5,Transmission,7
130,Car,5,Transmission,7
429,Car,5,Transmission,7
56,Car,5,Transmission,7
116,Car,5,Transmission,7
91,Car,5,Transmission,7
770,Car,5,Transmission,7
384,Car,5,Transmission,7
606,Car,5,Transmission,7
61,Car,5,Transmission,7
231,Car,5,Transmission,7
752,Car,5,Transmission,7
816,Car,5,Transmission,7
229,Car,5,Transmission,7
600,Car,5,Transmission,7
208,Car,5,Transmission,7
497,Car,5,Transmission,7
66,Car,5,Transmission,7
184,Car,5,Transmission,7
360,Car,5,Transmission,7
784,Car,5,Transmission,7
700,Car,5,Transmission,7
561,Car,5,Transmission,7
464,Car,5,Transmission,7
583,Car,5,Transmission,7
293,Car,5,Transmission,7
714,Car,5,Transmission,7
733,Car,5,Transmission,7
163,Car,5,Transmission,7
672,Car,5,Transmission,7
228,Car,5,Transmission,7
434,Car,5,Transmission,7
260,Car,5,Transmission,7
422,Car,5,Transmission,7
741,Car,5,Transmission,7
622,Car,5,Transmission,7
114,Car,5,Transmission,7
819,Car,5,Transmission,7
264,Car,5,Transmission,7
631,Car,5,Transmission,7
667,Car,5,Transmission,7
567,Car,5,Transmission,7
84,Car,5,Transmission,7
612,Car,5,Transmission,7
48,Car,5,Transmission,7
413,Car,5,Transmission,7
118,Car,5,Transmission,7
377,Car,5,Transmission,7
682,Car,7,Transmission,8
173,Car,7,Transmission,8
636,Car,7,Transmission,8
41,Car,7,Transmission,8
51,Car,7,Transmission,8
722,Car,7,Transmission,8
12,Car,7,Transmission,8
189,Car,7,Transmission,8
74,Car,7,Transmission,8
351,Car,7,Transmission,8
587,Car,7,Transmission,8
186,Car,7,Transmission,8
516,Car,7,Transmission,8
27,Car,7,Transmission,8
579,Car,7,Transmission,8
148,Car,7,Transmission,8
442,Car,7,Transmission,8
695,Car,7,Transmission,8
629,Car,7,Transmission,8
538,Car,7,Transmission,8
312,Car,7,Transmission,8
67,Car,7,Transmission,8
707,Car,7,Transmission,8
691,Car,7,Transmission,8
8,Car,7,Transmission,8
297,Car,7,Transmission,8
157,Car,7,Transmission,8
411,Car,7,Transmission,8
441,Car,7,Transmission,8
533,Car,7,Transmission,8
766,Car,7,Transmission,8
568,Car,7,Transmission,8
743,Car,7,Transmission,8
732,Car,7,Transmission,8
340,Car,7,Transmission,8
86,Car,7,Transmission,8
162,Car,7,Transmission,8
291,Car,7,Transmission,8
374,Car,7,Transmission,8
493,Car,7,Transmission,8
376,Car,7,Transmission,8
726,Car,7,Transmission,8
615,Car,7,Transmission,8
735,Car,7,Transmission,8
362,Car,7,Transmission,8
142,Car,15,Transmission,9
94,Car,24,Transmission,7
459,Car,24,Transmission,7
300,Car,24,Transmission,7
737,Car,24,Transmission,7
761,Car,24,Transmission,7
594,Car,24,Transmission,7
806,Car,24,Transmission,7
290,Car,24,Transmission,7
140,Car,24,Transmission,7
70,Car,24,Transmission,7
603,Car,24,Transmission,7
15,Car,24,Transmission,7
420,Car,24,Transmission,7
344,Car,24,Transmission,7
582,Car,24,Transmission,7
679,Car,24,Transmission,7
731,Car,6,Transmission,8
199,Car,6,Transmission,8
379,Car,6,Transmission,8
436,Car,6,Transmission,8
650,Car,6,Transmission,8
269,Car,6,Transmission,8
723,Car,6,Transmission,8
257,Car,6,Transmission,8
418,Car,6,Transmission,8
484,Car,6,Transmission,8
151,Car,12,Transmission,1
57,Car,12,Transmission,1
81,Car,12,Transmission,1
100,Car,12,Transmission,1
131,Car,12,Transmission,1
108,Car,12,Transmission,1
188,Car,12,Transmission,1
470,Car,12,Transmission,1
467,Car,12,Transmission,1
355,Car,12,Transmission,1
453,Car,12,Transmission,1
106,Car,12,Transmission,1
694,Car,12,Transmission,1
715,Car,12,Transmission,1
256,Car,12,Transmission,1
149,Car,12,Transmission,1
768,Car,12,Transmission,1
700,Car,12,Transmission,1
499,Car,12,Transmission,1
72,Car,12,Transmission,1
802,Car,12,Transmission,1
577,Car,12,Transmission,1
288,Car,12,Transmission,1
433,Car,12,Transmission,1
630,Car,12,Transmission,1
705,Car,12,Transmission,1
69,Car,12,Transmission,1
763,Car,12,Transmission,1
166,Car,12,Transmission,1
123,Car,12,Transmission,1
389,Car,12,Transmission,1
353,Car,12,Transmission,1
170,Car,12,Transmission,1
612,Car,12,Transmission,1
268,Car,12,Transmission,1
489,Car,12,Transmission,1
322,Car,12,Transmission,1
426,Car,12,Transmission,1
804,Car,12,Transmission,1
784,Car,11,Transmission,1
809,Car,11,Transmission,1
