id,mfr_name,car_division,carline
753,Jaguar Land Rover L,Jaguar,F-PACE P400 MHEV
754,Hyundai,HYUNDAI MOTOR COMPANY,Tucson AWD
755,Toyota,LEXUS,LX 600
756,Honda,Acura,TLX AWD
757,General Motors,GMC,SIERRA 2WD
758,Jaguar Land Rover L,Land Rover,New Range Rover P400 LWB MHEV
759,Toyota,TOYOTA,RAV4 AWD TRD OFFROAD
760,Toyota,TOYOTA,COROLLA XSE
761,Mercedes-Benz,Mercedes-Benz,AMG CLA 35 4MATIC
762,Subaru,Subaru,IMPREZA SPORT 4-Door
763,Honda,Honda,CIVIC 5Dr
764,Volkswagen Group of,Volkswagen,Tiguan R-Line 4Motion
765,Volkswagen Group of,Audi,Q3 quattro
766,Hyundai,HYUNDAI MOTOR COMPANY,Kona N
767,Mercedes-Benz,Mercedes-Benz,GLC 300 4MATIC (Coupe)
768,Honda,Honda,ACCORD
769,Kia,KIA,Seltos FWD
770,Volkswagen Group of,Lamborghini,Aventador Countach
771,Mercedes-Benz,Mercedes-Benz,E 450 4MATIC (convertible)
772,Ford Motor Company,Ford,BRONCO 4WD
773,Toyota,TOYOTA,RAV4 AWD
774,BMW,BMW,ALPINA B7 xDrive
775,Kia,KIA,Telluride FWD
776,aston martin,Aston Martin Lagonda Ltd,DBS
777,FCA US LLC,Dodge,Challenger AWD
778,Volkswagen Group of,Audi,S5 Coupe
779,Toyota,LEXUS,UX 200
780,Toyota,LEXUS,IS 300
781,Jaguar Land Rover L,Land Rover,Range Rover Evoque MHEV
782,Subaru,Subaru,OUTBACK AWD
783,BMW,BMW,X3 M Competition
784,Hyundai,HYUNDAI MOTOR COMPANY,Elantra
785,BMW,BMW,230i Coupe
786,BMW,BMW,X4 xDrive30i
787,Honda,Acura,TLX FWD
788,Jaguar Land Rover L,Jaguar,F-TYPE P450 RWD Coupe
789,BMW,Mini,COOPER S COUNTRYMAN ALL4
790,BMW,BMW,430i Gran Coupe
791,Volkswagen Group of,Volkswagen,Taos
792,General Motors,Buick,ENCORE GX AWD
793,Toyota,LEXUS,RX 350 AWD
794,Mercedes-Benz,Mercedes-Benz,AMG GT 43 4MATIC+
795,FCA US LLC,Dodge,Durango SRT AWD
796,Volkswagen Group of,Audi,S5 Sportback
797,Volkswagen Group of,Volkswagen,Atlas
798,Volkswagen Group of,Audi,A4 allroad quattro
799,Honda,Acura,RDX AWD
800,Toyota,LEXUS,GX 460
801,MAZDA,MAZDA,CX-5 4WD
802,Toyota,TOYOTA,COROLLA HYBRID
803,Volkswagen Group of,Volkswagen,Tiguan
804,Mitsubishi Motors Co,Mitsubishi Motors Corporation,MIRAGE
805,Mercedes-Benz,Mercedes-Benz,AMG GT 53 4MATIC+
806,Mercedes-Benz,Mercedes-Benz,A 220 4MATIC
807,Subaru,Subaru,FORESTER AWD
808,General Motors,GMC,CANYON 2WD
809,Kia,KIA,Rio
810,Mercedes-Benz,Mercedes-Benz,AMG GLE 63 S 4MATIC+ (coupe)
811,Toyota,TOYOTA,SEQUOIA 2WD
812,Kia,KIA,Sportage AWD
813,Jaguar Land Rover L,Land Rover,Range Rover Sport SVR
814,FCA US LLC,Jeep,Grand Cherokee WK 4X4
815,Subaru,Subaru,ASCENT AWD
816,BMW,Mini,COOPER HARDTOP 4 DOOR
817,Mercedes-Benz,Mercedes-Benz,AMG E 53 4MATIC+ (Coupe)
818,Porsche,Porsche,Cayenne GTS
819,Volkswagen Group of,Audi,R8 Spyder
820,Jaguar Land Rover L,Land Rover,Range Rover Sport P400 MHEV
821,General Motors,Cadillac,CT5 V
822,Hyundai,HYUNDAI MOTOR COMPANY,Elantra Hybrid Blue
823,BMW,BMW,M4 Coupe
824,Kia,KIA,Stinger AWD
825,Hyundai,GENESIS,GV70 AWD
826,Toyota,TOYOTA,SIENNA AWD
