id,mfr_name,car_division,carline
341,FCA US LLC,ALFA ROMEO,Stelvio
342,Hyundai,HYUNDAI MOTOR COMPANY,Ioniq Blue
343,Mercedes-Benz,Mercedes-Benz,AMG G 63
344,Ferrari,"Ferrari North America, Inc.",812 GTS
345,Toyota,LEXUS,IS 350 AWD
346,General Motors,Chevrolet,SILVERADO 4WD
347,Honda,Acura,RDX AWD A-SPEC
348,Porsche,Porsche,Cayenne S
349,FCA US LLC,Chrysler,Voyager
350,Subaru,Subaru,LEGACY
351,Hyundai,HYUNDAI MOTOR COMPANY,Santa Cruz AWD
352,Honda,Acura,MDX AWD Type-S
353,Nissan,NISSAN,ALTIMA
