start_id,start_vertex_type,end_id,end_vertex_type,fe,co2
21,vt_mfr,37,vt_engine,25,357.5
21,vt_mfr,44,vt_engine,20.15,442.5
22,vt_mfr,5,vt_engine,44.44,205
22,vt_mfr,6,vt_engine,31.5,285.33
22,vt_mfr,2,vt_engine,24.43,369.5
22,vt_mfr,4,vt_engine,25.22,354
22,vt_mfr,14,vt_engine,21.99,407
22,vt_mfr,15,vt_engine,21.65,412
22,vt_mfr,36,vt_engine,30.53,296.44
22,vt_mfr,33,vt_engine,22.17,406.5
22,vt_mfr,40,vt_engine,24.87,360.8
22,vt_mfr,45,vt_engine,20.17,444
